TargetUserID,1stNNUserID,2NNUserID,3NNUserID,4NNUserID,5NNUserID,Book_ISBN,Predicted_Rating
6251,135149,242083,16795,56447,95359,043935806X,8.9572
6251,135149,242083,16795,56447,95359,312980140,8.5455
6251,135149,242083,16795,56447,95359,385484518,8.5455
6251,135149,242083,16795,56447,95359,439136350,8.5455
6251,135149,242083,16795,56447,95359,440206154,8.5455
6575,95359,136382,89602,164323,225763,609804138,7.4074
6575,95359,136382,89602,164323,225763,014029628X,6.2222
6575,95359,136382,89602,164323,225763,068484267X,6.2222
6575,95359,136382,89602,164323,225763,014028009X,5.3056
7346,211426,28634,43246,101851,70666,440225701,9.0879
7346,211426,28634,43246,101851,70666,345361792,8.2308
7346,211426,28634,43246,101851,70666,671001795,8.2308
7346,211426,28634,43246,101851,70666,312976275,7.3022
7346,211426,28634,43246,101851,70666,312980140,5.049
11676,88733,23872,66942,88693,89602,60938455,7.6286
11676,88733,23872,66942,88693,89602,156027321,7.6286
11676,88733,23872,66942,88693,89602,312976275,7.6286
11676,88733,23872,66942,88693,89602,312195516,7.2952
11676,88733,23872,66942,88693,89602,60987103,6.7619
13552,135149,89602,105979,17950,150979,140298479,8.7
13552,135149,89602,105979,17950,150979,440224764,8.7
13552,135149,89602,105979,17950,150979,385504209,8.6595
13552,135149,89602,105979,17950,150979,440221471,8.5512
13552,135149,89602,105979,17950,150979,440234743,7.4857
16795,6251,136382,147847,187145,187256,142001740,9.0839
16795,6251,136382,147847,187145,187256,312966970,8.6657
16795,6251,136382,147847,187145,187256,312980140,8.6657
16795,6251,136382,147847,187145,187256,375706771,7.5445
16795,6251,136382,147847,187145,187256,375727345,5.8111
17950,211426,200226,271448,126492,13552,446310786,9.9
17950,211426,200226,271448,126492,13552,679781587,7.5
17950,211426,200226,271448,126492,13552,044651652X,6.8
17950,211426,200226,271448,126492,13552,440213525,6.0992
17950,211426,200226,271448,126492,13552,446605239,3.6429
21014,53174,270713,204864,236757,224349,067976402X,9.0389
21014,53174,270713,204864,236757,224349,452282152,8.3746
21014,53174,270713,204864,236757,224349,312278586,7.5556
21014,53174,270713,204864,236757,224349,671041789,7.5556
