Overall_RMSE,1.814837
Total_Predictions,200

UserID,Book_ISBN,Actual_Rating,Predicted_Rating,Squared_Error
6251,312980140,7,8.5455,2.3884
6251,385484518,7,10,9
6251,439136350,10,8.5455,2.1157
6251,043935806X,9,8.5,0.25
6251,440206154,7,8.5455,2.3884
6251,068484267X,8,8.5455,0.2975
6575,014028009X,4,5.0,1.0
6575,014029628X,7,6.2222,0.6049
6575,609804138,8,6.2222,3.1605
6575,068484267X,9,6.2222,7.716
7346,312976275,7,9.0,4.0
7346,312980140,8,8.0,0.0
7346,345361792,9,7.6912,1.713
7346,440225701,10,8.2308,3.1302
7346,671001795,8,8.0,0.0
11676,60938455,10,9.0,1.0
11676,60987103,9,7.7344,1.6017
11676,156027321,6,8.0,4.0
11676,312195516,10,7.0,9.0
11676,312976275,7,7.4234,0.1792
13552,140298479,9,8.7,0.09
13552,385504209,10,8.0,4.0
13552,440221471,8,10,4
13552,440224764,9,8.7,0.09
13552,440234743,8,8.0,0.0
16795,142001740,10,9.6371,0.1317
16795,312966970,8,6.75,1.5625
16795,312980140,6,8.0211,4.0848
16795,375706771,7,8.25,1.5625
16795,375727345,9,8.25,0.5625
17950,440213525,5,7.5,6.25
17950,446310786,8,10,4
17950,044651652X,9,7.5,2.25
17950,446605239,6,9.0,9.0
17950,679781587,9,5.0,16.0
21014,312278586,7,8.0,1.0
21014,452282152,8,8.0,0.0
21014,553250426,10,5.0,25.0
21014,671041789,7,7.5556,0.3086
21014,067976402X,7,6.5,0.25
23872,345342968,9,9.4286,0.1837
23872,345361792,6,9.4286,11.7551
23872,439064864,10,10,0
23872,446606812,7,9.4286,5.898
23872,068484477X,8,9.0,1.0
23902,312924585,5,6.0,1.0
23902,345361792,10,7.1429,8.1633
23902,345370775,7,7.1429,0.0204
23902,446310786,7,9.0,4.0
23902,068484267X,7,5.0,4.0
28634,316666343,10,10,0
28634,440220602,10,9.75,0.0625
28634,440221471,10,9.5,0.25
28634,044023722X,9,10,1
28634,044651652X,10,9.75,0.0625
30735,312195516,10,9.0,1.0
30735,439064864,9,9.6751,0.4558
30735,439139597,10,9.6667,0.1111
30735,553250426,9,9.6364,0.405
30735,553280368,10,10,0
35857,316601950,9,5.0,16.0
35857,375706771,8,5.0,9.0
35857,399501487,9,9.0,0.0
35857,743418174,6,5.0,1.0
35857,1558744150,8,7.0,1.0
35859,142001740,9,8.6667,0.1111
35859,312195516,10,8.0,4.0
35859,316666343,6,8.6667,7.1111
35859,385722206,8,10,4
35859,451156609,7,7.0,0.0
37712,142001740,9,7.5,2.25
37712,345370775,8,10,4
37712,671027360,7,9.6667,7.1111
37712,067976402X,9,7.7778,1.4938
37712,068484477X,7,8.0,1.0
37950,399501487,9,6.3333,7.1111
37950,439064872,8,6.5,2.25
37950,446310786,9,9.0,0.0
37950,451167317,7,7.0,0.0
37950,553280341,8,3.0,25.0
43246,312966970,10,10,0
43246,375727345,8,7.6667,0.1111
43246,446605239,9,8.1818,0.6694
43246,671001795,9,9.0,0.0
43246,067976402X,10,9.0,1.0
46398,345350499,9,6.375,6.8906
46398,345370775,8,6.0,4.0
46398,375706771,9,6.375,6.8906
46398,452282152,6,6.375,0.1406
46398,068484267X,9,6.375,6.8906
52584,316666343,9,8.8333,0.0278
52584,380018179,10,8.8333,1.3611
52584,446606812,7,8.8333,3.3611
52584,743418174,10,8.8333,1.3611
52584,804106304,7,8.8333,3.3611
53174,316601950,10,9.8,0.04
53174,345313860,9,9.8,0.64
53174,345350499,10,9.8,0.04
53174,385504209,10,9.8,0.04
53174,440206154,10,10,0
56447,60928336,8,8.0,0.0
56447,316776963,7,7.6667,0.4444
56447,059035342X,7,7.6667,0.4444
56447,671041789,10,7.6667,5.4444
56447,842329129,6,7.6667,2.7778
66942,439136350,9,9.0,0.0
66942,439139597,9,9.0,0.0
66942,440224675,6,8.2222,4.9383
66942,671041789,7,8.2222,1.4938
66942,804106304,10,8.2222,3.1605
68555,014028009X,4,7.8571,14.8776
68555,312195516,10,4.0,36.0
68555,440214041,8,7.8571,0.0204
68555,440221471,7,4.0,9.0
68555,440224764,7,8.7316,2.9985
69389,312966970,9,8.1429,0.7347
69389,446610038,8,8.1429,0.0204
69389,553280368,8,8.5,0.25
69389,590353403,8,8.0,0.0
69389,671001795,9,8.1429,0.7347
70666,440211727,9,10,1
70666,440213525,9,8.1429,0.7347
70666,440234743,7,7.9274,0.8601
70666,446605239,5,8.0,9.0
70666,080410526X,9,8.1429,0.7347
75819,316769487,2,8.0,36.0
75819,439139597,7,10,9
75819,440234743,7,10.0,9.0
75819,671041789,5,9.0,16.0
75819,786868716,6,9.0,9.0
88693,312278586,8,8.0,0.0
88693,452282152,8,8.0,0.0
88693,671003755,7,8.5,2.25
88693,671027360,7,8.0,1.0
88693,067976402X,7,7.3333,0.1111
88733,345339681,9,8.75,0.0625
88733,439064872,10,8.75,1.5625
88733,439139597,9,10,1
88733,446672211,8,8.75,0.5625
88733,059035342X,10,10,0
89602,014028009X,5,8.0,9.0
89602,316666343,8,5.0,9.0
89602,316776963,8,6.0,4.0
89602,375726403,6,6.0,0.0
89602,380813815,9,5.0,16.0
91113,345350499,9,8.6667,0.1111
91113,345361792,10,9.0,1.0
91113,375726403,9,9.0,0.0
91113,140298479,8,8.6667,0.4444
91113,156027321,8,8.0,0.0
93047,439136369,9,7.0,4.0
93047,439139597,7,7.0,0.0
93047,440998050,5,7.0,4.0
93047,449212602,7,7.0,0.0
93047,553572997,7,7.0,0.0
95359,316096199,9,8.8148,0.0343
