UserID,User_6251,User_6575,User_7346,User_11676,User_13552,User_16795,User_17950,User_21014,User_23872,User_23902,User_28634,User_30735,User_35857,User_35859,User_37712,User_37950,User_43246,User_46398,User_52584,User_53174,User_56447,User_66942,User_68555,User_69389,User_70666,User_73681,User_75819,User_88693,User_88733,User_89602,User_91113,User_93047,User_95359,User_95932,User_101851,User_102647,User_104636,User_105028,User_105517,User_105979,User_107784,User_110912,User_110934,User_113270,User_126492,User_135149,User_136382,User_140000,User_140358,User_147847,User_148744,User_150979,User_153662,User_158295,User_158433,User_159506,User_162639,User_164323,User_165308,User_170513,User_177432,User_187145,User_187256,User_196077,User_200226,User_203240,User_204864,User_210485,User_211426,User_214786,User_220688,User_224349,User_225763,User_226965,User_227705,User_229741,User_231210,User_232945,User_235282,User_236340,User_236757,User_241980,User_242083,User_245410,User_255489,User_258534,User_261829,User_265115,User_270713,User_271448,User_274004
6251,1.0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.866,0,0,0,0.5,0,1.0,0,0,0,0,0,0,0,0.6831,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0
6575,0,1.0,0,0.2287,0,0,0,0,0,-1.0,0,0.9177,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
7346,0,0,1.0,-0.1854,0,-1.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,-1.0,0,0,1.0,1.0,0,0,0,0,-0.866,0,-1.0,0,1.0,0,0,0,0,-1.0,1.0,-1.0,0,0,0,0,0,1.0,0,0,0,0.8704,0,1.0,0,0,0.866,0,-1.0,0,0,0,0,0,-1.0,0,0,-0.5,1.0,-0.3333,0,0,0.7746,0,0,-0.7559,0,0.5,0,0,0,-1.0,-1.0,0,0,0.0,0,-1.0,-0.6547,0,0
11676,0.0,0.2287,-0.1854,1.0,-0.603,0.0956,-0.9912,-0.4137,0.9045,0.209,-0.3224,0.6331,0.6154,-0.4696,0.0316,0.0817,-0.1005,0.1101,-0.8704,-0.866,-0.0776,0.8893,-0.1718,0,0.201,0.0,-0.3679,0.7649,0.9154,0.7395,0.6286,0.568,0.3439,0.5,0,-0.1925,-0.145,-0.4725,0.2011,-0.2145,-0.2178,-0.2676,0.6875,0.0546,-0.1413,-0.3146,-0.1461,-0.4745,0,0.2601,-0.5701,0.2791,0.0806,-0.139,-0.069,-0.375,-0.4563,-0.6339,0.2663,-0.393,0.5604,-0.4937,0.2212,-0.4246,-0.3811,0.2352,0.0,0.0933,0.4226,0.383,0.3664,-0.5809,-0.2315,0.1181,-0.4389,-0.1764,-0.4053,-0.1581,-0.1469,-0.1925,-0.1098,-0.0655,-0.1417,-0.3841,0.0943,-0.3783,0.1575,0.618,-0.3399,0.2407,-0.0161
13552,0,0,0,-0.603,1.0,0.3948,1.0,0,0,0,0,0,0,-1.0,0,0.866,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0.0,0.5976,0,0,1.0,0,0,0,0,-0.5,1.0,0,-1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0.8528,0,0,0.8704,0,0,0,0,0,1.0,0,0
16795,1.0,0,-1.0,0.0956,0.3948,1.0,0,0.5659,0,0,0,0,-0.5,-0.3083,0,0,0,0,-0.3015,0.982,0,0,0.0,0,0.7559,0,0,-0.3592,0,0.9827,0,0,-0.4552,0,0,0,0.2416,-1.0,0.6934,-0.0789,0.7276,0.0,-0.5,-0.3418,0.8709,0.0,1.0,0.0,0,1.0,0,0.5,-0.4714,0.982,-0.2335,-1.0,-1.0,0.866,-0.189,-0.3273,0.0,1.0,1.0,-1.0,0.0,-0.189,0.0168,0.4924,0,0,0,1.0,0.717,-1.0,0.4108,-0.5,-0.9685,-0.8783,-0.866,-0.5,0.866,-0.1741,0.1612,0,-1.0,-0.6571,-0.3198,0,-0.0801,0.0549,-1.0
17950,0,0,0,-0.9912,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,-0.3273,-1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
21014,0,0,0,-0.4137,0,0.5659,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,-1.0,0,0,0,0,-0.4644,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801,0,0,0,-1.0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0.5,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0.0,0
23872,0,0,0,0.9045,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0.7071,0,0.6699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.1741,1.0,0,0,0,0,0,1.0,0,0,0,-1.0,0,0,-0.803,0.866,0.5,0,0,0,0,0,0
23902,0,-1.0,0,0.209,0,0,0,0,0,1.0,-0.9961,0,0,0,1.0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.866,0,-0.866,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,1.0,-1.0,0,0,0,0,0
28634,0,0,1.0,-0.3224,0,0,0,0,0,-0.9961,1.0,0,0,0,0,0,0,0,0,0,0,-0.866,0.9177,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3333,0,0,0,0,0,0,0,0,0,0,0.9428,0.7906,-1.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.4082,0,0,0,0,0,0,0,-0.5,0,1.0,0,0,1.0
30735,0,0.9177,0,0.6331,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,-0.189,0,0,0,0,0,0,0,0
35857,0,0,0,0.6154,0,-0.5,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.866,0,0,0,0,0,0,0,0.7559,0,0,0,-1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.9439,0,0,0,1.0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
