TargetUserID,1stNNUserID,2ndNNUserID,3rdNNUserID,4thNNUserID,5thNNUserID,BookISBN,PredictedRating
89602,6575,13552,43246,105517,150979,316666343,9.0
89602,6575,13552,43246,105517,150979,380813815,8.05
89602,6575,13552,43246,105517,150979,316776963,8.05
89602,6575,13552,43246,105517,150979,375726403,8.05
89602,6575,13552,43246,105517,150979,014028009X,8.0
107784,7346,158433,196077,255489,68555,316096199,8.0
107784,7346,158433,196077,255489,68555,044021145X,7.5
70666,7346,13552,28634,102647,105028,440211727,9.67
70666,7346,13552,28634,102647,105028,440234743,9.0
70666,7346,13552,28634,102647,105028,446605239,8.05
70666,7346,13552,28634,102647,105028,080410526X,8.05
70666,7346,13552,28634,102647,105028,440213525,8.0
69389,136382,258534,236340,104636,6251,671001795,9.67
69389,136382,258534,236340,104636,6251,553280368,8.67
69389,136382,258534,236340,104636,6251,312966970,8.6
69389,136382,258534,236340,104636,6251,590353403,8.05
69389,136382,258534,236340,104636,6251,446610038,7.69
30735,6575,11676,6251,7346,13552,439064864,10
30735,6575,11676,6251,7346,13552,553280368,10
30735,6575,11676,6251,7346,13552,312195516,8.05
30735,6575,11676,6251,7346,13552,553250426,8.05
30735,6575,11676,6251,7346,13552,439139597,8.0
35857,105028,162639,224349,210485,70666,375706771,9.0
35857,105028,162639,224349,210485,70666,399501487,9.0
35857,105028,162639,224349,210485,70666,743418174,8.05
35857,105028,162639,224349,210485,70666,1558744150,8.05
35857,105028,162639,224349,210485,70666,316601950,8.05
35859,66942,110912,113270,126492,170513,385722206,10
35859,66942,110912,113270,126492,170513,312195516,9.0
35859,66942,110912,113270,126492,170513,316666343,8.5
35859,66942,110912,113270,126492,170513,142001740,7.0
35859,66942,110912,113270,126492,170513,451156609,7.0
21014,53174,196077,204864,224349,236757,067976402X,9.5
21014,53174,196077,204864,224349,236757,452282152,8.67
21014,53174,196077,204864,224349,236757,671041789,8.05
21014,53174,196077,204864,224349,236757,312278586,8.0
21014,53174,196077,204864,224349,236757,553250426,1
16795,6251,136382,147847,187145,187256,142001740,10
16795,6251,136382,147847,187145,187256,312966970,8.0
16795,6251,136382,147847,187145,187256,312980140,8.0
16795,6251,136382,147847,187145,187256,375706771,7.0
16795,6251,136382,147847,187145,187256,375727345,5.5
11676,88733,23872,66942,88693,89602,60938455,8.05
11676,88733,23872,66942,88693,89602,156027321,8.05
11676,88733,23872,66942,88693,89602,312976275,8.05
11676,88733,23872,66942,88693,89602,312195516,7.0
11676,88733,23872,66942,88693,89602,60987103,6.0
88733,37950,95932,196077,204864,236757,345339681,8.05
88733,37950,95932,196077,204864,236757,059035342X,8.05
88733,37950,95932,196077,204864,236757,439064872,8.05
88733,37950,95932,196077,204864,236757,439139597,8.05
88733,37950,95932,196077,204864,236757,446672211,8.05
17950,13552,126492,200226,211426,271448,446310786,10
17950,13552,126492,200226,211426,271448,679781587,8.05
17950,13552,126492,200226,211426,271448,044651652X,8.0
17950,13552,126492,200226,211426,271448,440213525,6.5
17950,13552,126492,200226,211426,271448,446605239,4.0
95359,6251,6575,46398,75819,105028,316769487,8.05
95359,6251,6575,46398,75819,105028,380718340,8.05
95359,6251,6575,46398,75819,105028,316096199,8.05
95359,6251,6575,46398,75819,105028,345378490,7.0
95359,6251,6575,46398,75819,105028,375727345,6.0
75819,95359,227705,6251,6575,7346,316769487,8.05
75819,95359,227705,6251,6575,7346,440234743,8.05
75819,95359,227705,6251,6575,7346,786868716,8.05
75819,95359,227705,6251,6575,7346,671041789,8.05
75819,95359,227705,6251,6575,7346,439139597,8.05
105517,46398,89602,158433,164323,242083,080410526X,10
105517,46398,89602,158433,164323,242083,439064872,9.0
105517,46398,89602,158433,164323,242083,440498058,8.05
105517,46398,89602,158433,164323,242083,1558744150,8.05
105517,46398,89602,158433,164323,242083,385484518,3.0
6575,89602,95359,136382,158295,162639,609804138,10
6575,89602,95359,136382,158295,162639,014029628X,8.05
6575,89602,95359,136382,158295,162639,068484267X,8.05
6575,89602,95359,136382,158295,162639,014028009X,8.0
7346,28634,43246,70666,73681,101851,440225701,9.0
7346,28634,43246,70666,73681,101851,671001795,8.05
7346,28634,43246,70666,73681,101851,345361792,8.05
7346,28634,43246,70666,73681,101851,312976275,8.05
7346,28634,43246,70666,73681,101851,312980140,5.0
53174,21014,16795,6251,6575,7346,385504209,10
53174,21014,16795,6251,6575,7346,345313860,8.05
53174,21014,16795,6251,6575,7346,345350499,8.05
53174,21014,16795,6251,6575,7346,316601950,8.05
53174,21014,16795,6251,6575,7346,440206154,8.05
95932,88733,229741,11676,6251,6575,449212602,10
95932,88733,229741,11676,6251,6575,440498058,9.33
95932,88733,229741,11676,6251,6575,380789035,8.05
95932,88733,229741,11676,6251,6575,345313860,8.0
95932,88733,229741,11676,6251,6575,380002930,5.0
104636,148744,150979,200226,241980,153662,312980140,10
104636,148744,150979,200226,241980,153662,440213525,10.0
104636,148744,150979,200226,241980,153662,439136369,10.0
104636,148744,150979,200226,241980,153662,439064872,10.0
104636,148744,150979,200226,241980,153662,014028009X,8.05
46398,95359,105517,271448,187256,204864,345370775,9.0
46398,95359,105517,271448,187256,204864,068484267X,8.05
46398,95359,105517,271448,187256,204864,375706771,8.05
46398,95359,105517,271448,187256,204864,452282152,8.05
46398,95359,105517,271448,187256,204864,345350499,8.05
37950,88693,88733,93047,135149,136382,439064872,8.05
37950,88693,88733,93047,135149,136382,553280341,8.05
37950,88693,88733,93047,135149,136382,451167317,8.05
37950,88693,88733,93047,135149,136382,446310786,8.05
37950,88693,88733,93047,135149,136382,399501487,8.0
23872,177432,214786,229741,11676,245410,345342968,10
23872,177432,214786,229741,11676,245410,345361792,10
23872,177432,214786,229741,11676,245410,439064864,8.42
23872,177432,214786,229741,11676,245410,446606812,8.05
23872,177432,214786,229741,11676,245410,068484477X,4.0
105028,35857,70666,95359,153662,210485,059035342X,10
105028,35857,70666,95359,153662,210485,440211727,10
105028,35857,70666,95359,153662,210485,451176464,8.05
105028,35857,70666,95359,153662,210485,440224764,8.05
105028,35857,70666,95359,153662,210485,312924585,8.05
68555,170513,227705,107784,28634,242083,440214041,9.58
68555,170513,227705,107784,28634,242083,440221471,9.58
68555,170513,227705,107784,28634,242083,312195516,8.05
68555,170513,227705,107784,28634,242083,440224764,7.36
68555,170513,227705,107784,28634,242083,014028009X,7.0
37712,23902,110912,110934,162639,210485,671027360,9.0
37712,23902,110912,110934,162639,210485,142001740,9.0
37712,23902,110912,110934,162639,210485,068484477X,9.0
37712,23902,110912,110934,162639,210485,345370775,8.5
37712,23902,110912,110934,162639,210485,067976402X,8.0
28634,7346,70666,196077,220688,265115,440221471,9.0
28634,7346,70666,196077,220688,265115,044023722X,8.05
28634,7346,70666,196077,220688,265115,440220602,8.05
28634,7346,70666,196077,220688,265115,044651652X,8.05
28634,7346,70666,196077,220688,265115,316666343,8.0
101851,7346,187145,236340,135149,6251,804106304,8.07
101851,7346,187145,236340,135149,6251,439136350,8.05
101851,7346,187145,236340,135149,6251,059035342X,8.05
101851,7346,187145,236340,135149,6251,439064864,8.05
101851,7346,187145,236340,135149,6251,439139597,8.05
102647,70666,164323,224349,265115,104636,044021145X,9.47
102647,70666,164323,224349,265115,104636,439136350,8.05
102647,70666,164323,224349,265115,104636,043935806X,8.05
102647,70666,164323,224349,265115,104636,440225701,7.6
102647,70666,164323,224349,265115,104636,044022165X,6.93
23902,37712,135149,136382,165308,255489,446310786,10
23902,37712,135149,136382,165308,255489,068484267X,8.05
23902,37712,135149,136382,165308,255489,345370775,8.05
23902,37712,135149,136382,165308,255489,312924585,8.05
23902,37712,135149,136382,165308,255489,345361792,8.0
52584,105979,113270,170513,231210,140000,316666343,9.37
52584,105979,113270,170513,231210,140000,804106304,8.05
52584,105979,113270,170513,231210,140000,380018179,8.05
52584,105979,113270,170513,231210,140000,743418174,7.67
52584,105979,113270,170513,231210,140000,446606812,1
91113,165308,187256,210485,255489,11676,345361792,8.77
91113,165308,187256,210485,255489,11676,156027321,8.05
91113,165308,187256,210485,255489,11676,345350499,8.05
91113,165308,187256,210485,255489,11676,375726403,7.0
91113,165308,187256,210485,255489,11676,140298479,3.0
6251,16795,56447,95359,135149,165308,043935806X,9.5
6251,16795,56447,95359,135149,165308,385484518,8.05
6251,16795,56447,95359,135149,165308,068484267X,8.05
6251,16795,56447,95359,135149,165308,439136350,8.05
6251,16795,56447,95359,135149,165308,312980140,8.05
43246,7346,89602,147847,150979,170513,446605239,9.0
43246,7346,89602,147847,150979,170513,067976402X,8.05
43246,7346,89602,147847,150979,170513,671001795,8.05
43246,7346,89602,147847,150979,170513,312966970,8.0
43246,7346,89602,147847,150979,170513,375727345,5.0
13552,17950,70666,89602,105979,135149,140298479,8.05
13552,17950,70666,89602,105979,135149,440224764,8.0
13552,17950,70666,89602,105979,135149,440221471,7.5
13552,17950,70666,89602,105979,135149,385504209,6.5
13552,17950,70666,89602,105979,135149,440234743,5.0
88693,37950,110912,210485,271448,220688,452282152,10
88693,37950,110912,210485,271448,220688,312278586,10
88693,37950,110912,210485,271448,220688,671027360,9.0
88693,37950,110912,210485,271448,220688,067976402X,8.05
88693,37950,110912,210485,271448,220688,671003755,8.0
93047,37950,271448,211426,11676,110934,440998050,10
93047,37950,271448,211426,11676,110934,449212602,10
93047,37950,271448,211426,11676,110934,439136369,9.0
93047,37950,271448,211426,11676,110934,439139597,8.94
93047,37950,271448,211426,11676,110934,553572997,7.6
105979,13552,52584,73681,164323,235282,671003755,9.0
105979,13552,52584,73681,164323,235282,786868716,9.0
105979,13552,52584,73681,164323,235282,316601950,9.0
105979,13552,52584,73681,164323,235282,440214041,8.5
105979,13552,52584,73681,164323,235282,440234743,8.05
66942,35859,177432,187145,242083,11676,439136350,8.05
66942,35859,177432,187145,242083,11676,804106304,8.0
66942,35859,177432,187145,242083,11676,440224675,8.0
66942,35859,177432,187145,242083,11676,439139597,8.0
66942,35859,177432,187145,242083,11676,671041789,7.06
56447,6251,6575,7346,13552,16795,059035342X,8.05
56447,6251,6575,7346,13552,16795,60928336,8.05
56447,6251,6575,7346,13552,16795,671041789,8.05
56447,6251,6575,7346,13552,16795,316776963,8.05
56447,6251,6575,7346,13552,16795,842329129,8.05
