UserID,User_6251,User_6575,User_7346,User_11676,User_13552,User_16795,User_17950,User_21014,User_23872,User_23902
6251,1.0,0,0,0.0,0,1.0,0,0,0,0
6575,0,1.0,0,0.2287,0,0,0,0,0,-1.0
7346,0,0,1.0,-0.1854,0,-1.0,0,0,0,0
11676,0.0,0.2287,-0.1854,1.0,-0.603,0.0956,-0.9912,-0.4137,0.9045,0.209
13552,0,0,0,-0.603,1.0,0.3948,1.0,0,0,0
16795,1.0,0,-1.0,0.0956,0.3948,1.0,0,0.5659,0,0
17950,0,0,0,-0.9912,1.0,0,1.0,0,0,0
21014,0,0,0,-0.4137,0,0.5659,0,1.0,0,0
23872,0,0,0,0.9045,0,0,0,0,1.0,0
23902,0,-1.0,0,0.209,0,0,0,0,0,1.0
