UserID,TotalRatings,AvgRating,StdRating,MinRating,MaxRating,RatedBooks
6251,11,8.55,1.67,6.0,10.0,11
6575,9,6.22,2.35,2.0,9.0,9
7346,13,8.23,0.89,7.0,10.0,13
11676,70,7.63,2.18,1.0,10.0,70
13552,10,8.7,1.1,7.0,10.0,10
16795,31,7.48,1.66,4.0,10.0,31
17950,6,7.5,1.89,5.0,10.0,6
21014,9,7.56,1.42,5.0,9.0,9
23872,7,9.43,0.73,8.0,10.0,7
23902,7,7.14,1.81,5.0,10.0,7
28634,15,9.67,0.79,7.0,10.0,15
30735,11,9.64,0.48,9.0,10.0,11
35857,6,5.67,1.89,3.0,9.0,6
35859,15,8.67,1.07,7.0,10.0,15
37712,9,7.78,2.35,4.0,10.0,9
37950,12,6.33,1.6,3.0,9.0,12
43246,11,8.18,1.64,5.0,10.0,11
46398,8,6.38,2.5,3.0,10.0,8
52584,6,8.83,1.07,7.0,10.0,6
53174,5,9.8,0.4,9.0,10.0,5
56447,6,7.67,0.47,7.0,8.0,6
66942,9,8.22,1.03,7.0,10.0,9
68555,7,7.86,1.96,4.0,10.0,7
69389,7,8.14,0.35,8.0,9.0,7
70666,7,8.14,1.64,6.0,10.0,7
73681,10,8.7,1.19,7.0,10.0,10
75819,6,9.0,1.0,7.0,10.0,6
88693,6,7.33,1.6,4.0,9.0,6
88733,8,8.75,1.09,7.0,10.0,8
89602,15,6.87,1.41,5.0,9.0,15
91113,6,8.67,0.75,8.0,10.0,6
93047,5,7.0,0.63,6.0,8.0,5
95359,27,8.81,1.44,4.0,10.0,27
95932,5,7.4,0.49,7.0,8.0,5
101851,6,9.0,1.15,7.0,10.0,6
102647,11,7.73,1.48,4.0,10.0,11
104636,24,8.62,1.25,5.0,10.0,24
105028,8,7.62,0.86,6.0,9.0,8
105517,7,6.43,2.32,4.0,10.0,7
105979,14,6.21,2.11,1.0,9.0,14
107784,13,7.46,2.02,4.0,10.0,13
110912,21,9.48,0.73,8.0,10.0,21
110934,18,9.06,0.62,8.0,10.0,18
113270,10,8.6,1.2,6.0,10.0,10
126492,18,7.94,1.39,6.0,10.0,18
135149,18,8.0,0.67,7.0,9.0,18
136382,11,6.82,1.7,4.0,10.0,11
140000,11,7.82,1.59,5.0,10.0,11
140358,16,5.0,0.0,5.0,5.0,16
147847,10,5.8,1.6,5.0,9.0,10
148744,11,8.55,0.78,8.0,10.0,11
150979,12,8.08,1.11,6.0,10.0,12
153662,14,9.43,1.35,5.0,10.0,14
158295,10,6.7,1.1,5.0,9.0,10
158433,12,7.75,1.09,6.0,10.0,12
159506,13,7.69,0.99,5.0,9.0,13
162639,17,8.59,1.09,5.0,10.0,17
164323,14,8.07,0.8,6.0,9.0,14
165308,11,8.55,1.08,7.0,10.0,11
170513,12,9.17,1.28,7.0,10.0,12
177432,13,8.15,1.17,6.0,10.0,13
187145,10,8.2,0.87,6.0,9.0,10
187256,10,8.4,1.36,5.0,10.0,10
196077,11,8.45,1.5,5.0,10.0,11
200226,10,7.6,1.69,5.0,10.0,10
203240,11,7.18,1.27,5.0,9.0,11
204864,18,8.83,1.61,5.0,10.0,18
210485,17,8.24,1.06,6.0,10.0,17
211426,14,8.93,1.1,7.0,10.0,14
214786,11,9.36,0.77,8.0,10.0,11
220688,16,9.44,1.69,3.0,10.0,16
224349,10,8.2,0.6,7.0,9.0,10
225763,12,5.92,1.38,4.0,8.0,12
226965,11,9.45,1.44,5.0,10.0,11
227705,14,8.07,1.1,6.0,10.0,14
229741,17,7.59,0.77,6.0,9.0,17
231210,12,8.08,1.55,5.0,10.0,12
232945,10,8.5,0.5,8.0,9.0,10
235282,10,7.9,1.22,6.0,10.0,10
236340,12,8.33,1.18,5.0,10.0,12
236757,10,7.2,2.71,1.0,9.0,10
241980,14,9.36,1.29,5.0,10.0,14
242083,20,7.95,1.77,4.0,10.0,20
245410,12,7.42,0.49,7.0,8.0,12
255489,16,7.94,1.2,6.0,10.0,16
258534,17,8.88,1.13,6.0,10.0,17
261829,16,7.62,1.96,1.0,10.0,16
265115,11,8.18,1.34,6.0,10.0,11
270713,14,8.14,1.6,5.0,10.0,14
271448,14,7.86,2.36,2.0,10.0,14
274004,10,8.2,1.66,4.0,10.0,10
