TargetItem,SimilarItem,Similarity
014028009X,014029628X,0.4869
014028009X,60987103,0.463
014028009X,140298479,0.4446
014028009X,60976845,0.348
014028009X,312278586,0.3478
014028009X,044023722X,0.3457
014028009X,316776963,0.3424
014028009X,385722206,0.3419
014028009X,439064864,0.3371
014028009X,375727345,0.3116
014029628X,014028009X,0.4869
014029628X,786868716,0.4418
014029628X,60928336,0.4078
014029628X,375726403,0.3725
014029628X,316601950,0.3533
014029628X,385722206,0.3437
014029628X,312195516,0.3364
014029628X,375727345,0.2884
014029628X,439064864,0.2816
014029628X,590353403,0.274
034538475X,345313860,0.7231
034538475X,345337662,0.6801
034538475X,439136350,0.4413
034538475X,590353403,0.3812
034538475X,140067477,0.3708
034538475X,439064864,0.3679
034538475X,553268880,0.364
034538475X,439139597,0.3276
034538475X,451156609,0.3228
034538475X,451167317,0.2677
043935806X,439136369,0.5113
043935806X,590353403,0.4475
043935806X,439064872,0.4335
043935806X,059035342X,0.4295
043935806X,345350499,0.3205
043935806X,440213525,0.3193
043935806X,312278586,0.3114
043935806X,140067477,0.3051
043935806X,439136350,0.3004
043935806X,316776963,0.2876
044021145X,440214041,0.4991
044021145X,440220602,0.4976
044021145X,044022165X,0.3784
044021145X,059035342X,0.3219
044021145X,345337662,0.3186
044021145X,440211727,0.3161
044021145X,345339681,0.3147
044021145X,671041789,0.3128
044021145X,440224764,0.3007
044021145X,440221471,0.2825
044022165X,440220602,0.4901
044022165X,440214041,0.4376
044022165X,440211727,0.4303
044022165X,044021145X,0.3784
044022165X,380718340,0.3669
044022165X,451167317,0.314
044022165X,440221471,0.2676
044022165X,446610038,0.2559
044022165X,786868716,0.2553
044022165X,044651652X,0.2549
044023722X,553280368,0.4007
044023722X,440213525,0.3765
044023722X,553280341,0.3596
044023722X,440214041,0.3533
044023722X,014028009X,0.3457
044023722X,385335482,0.3404
044023722X,044651652X,0.3385
044023722X,64407667,0.3337
044023722X,446672211,0.3312
044023722X,553279912,0.3068
044651652X,786868716,0.5193
044651652X,440224675,0.47
044651652X,743418174,0.4528
044651652X,451156609,0.4118
044651652X,671041789,0.3994
044651652X,1558744150,0.398
044651652X,440214041,0.3945
044651652X,451184963,0.3743
044651652X,842329129,0.3691
044651652X,446605239,0.3476
059035342X,439064872,0.6917
059035342X,439136369,0.5095
059035342X,043935806X,0.4295
059035342X,439139597,0.372
059035342X,380718340,0.3587
059035342X,316776963,0.3575
059035342X,385504209,0.3533
059035342X,553280341,0.346
059035342X,1558744150,0.3432
059035342X,067976402X,0.3371
067976402X,375727345,0.4723
067976402X,1558744150,0.3937
067976402X,380813815,0.3933
067976402X,439139597,0.3829
067976402X,380789035,0.3633
067976402X,449212602,0.3584
067976402X,439136369,0.3422
067976402X,059035342X,0.3371
