UserID,BookISBN,ModelCalculatedValue,PredictedRating,Rank
89602,316666343,7.261081316890848,7.26,1
89602,014028009X,6.858491249869574,6.86,2
89602,375726403,6.640797505324609,6.64,3
89602,316776963,6.5489638598753,6.55,4
89602,380813815,6.211330829629801,6.21,5
107784,044021145X,7.608919898532041,7.61,1
107784,316096199,6.197565775179118,6.2,2
70666,440234743,8.347226709640179,8.35,1
70666,446605239,8.259678407967813,8.26,2
70666,440213525,7.9460851092031985,7.95,3
70666,080410526X,7.896921688415452,7.9,4
70666,440211727,7.800432118020977,7.8,5
69389,671001795,8.30637011505251,8.31,1
69389,312966970,8.274911181094819,8.27,2
69389,446610038,8.207875787138509,8.21,3
69389,553280368,8.174890834269156,8.17,4
69389,590353403,8.044824295425535,8.04,5
30735,553280368,9.850651715262899,9.85,1
30735,439064864,9.64940298488037,9.65,2
30735,439139597,9.573661434458819,9.57,3
30735,312195516,9.388820726809353,9.39,4
30735,553250426,9.371269422691666,9.37,5
35857,399501487,5.437601041694501,5.44,1
35857,375706771,5.394847479128219,5.39,2
35857,1558744150,5.226306415175239,5.23,3
35857,743418174,5.1547536182843015,5.15,4
35857,316601950,4.616118384027802,4.62,5
35859,312195516,8.753723622055782,8.75,1
35859,142001740,8.662254175512244,8.66,2
35859,316666343,8.622396811032084,8.62,3
35859,451156609,8.296852335787925,8.3,4
35859,385722206,8.27759349696842,8.28,5
21014,452282152,8.191194145349193,8.19,1
21014,553250426,7.731102392366217,7.73,2
21014,067976402X,7.665661911033427,7.67,3
21014,312278586,7.374031920605093,7.37,4
21014,671041789,7.149352595971509,7.15,5
16795,142001740,8.938098495692612,8.94,1
16795,375706771,8.364544451443866,8.36,2
16795,375727345,8.148248900698158,8.15,3
16795,312980140,7.539251167113938,7.54,4
16795,312966970,7.387369814013219,7.39,5
11676,156027321,7.8549860292162075,7.85,1
11676,312976275,7.785975003387042,7.79,2
11676,60987103,7.5123497603452645,7.51,3
11676,312195516,7.0515731007734574,7.05,4
11676,60938455,6.35116611266854,6.35,5
88733,439139597,9.321119739255462,9.32,1
88733,439064872,8.881548872048919,8.88,2
88733,446672211,8.837674969900108,8.84,3
88733,059035342X,8.812381505387616,8.81,4
88733,345339681,8.64829787902751,8.65,5
17950,446605239,8.65763191837492,8.66,1
17950,679781587,7.740553986458655,7.74,2
17950,440213525,7.716049704853201,7.72,3
17950,446310786,7.536531319739366,7.54,4
17950,044651652X,7.251124100434024,7.25,5
95359,375727345,9.363770072424519,9.36,1
95359,316096199,9.097597188663501,9.1,2
95359,345378490,8.832567753444172,8.83,3
95359,316769487,8.707844079027154,8.71,4
95359,380718340,8.015701713428497,8.02,5
75819,671041789,9.44121145598213,9.44,1
75819,440234743,9.165097830470506,9.17,2
75819,316769487,8.895104245168293,8.9,3
75819,786868716,8.72431913387302,8.72,4
75819,439139597,8.398569734363623,8.4,5
105517,385484518,7.4666387104525045,7.47,1
105517,440498058,6.80151724993267,6.8,2
105517,1558744150,6.5985472831686645,6.6,3
105517,080410526X,6.083087605005339,6.08,4
105517,439064872,5.703771607739874,5.7,5
6575,014029628X,6.670352615772308,6.67,1
6575,609804138,6.439748956818284,6.44,2
6575,014028009X,6.367694653270639,6.37,3
6575,068484267X,5.0,5.0,4
7346,312976275,8.461936913049728,8.46,1
7346,440225701,8.338353490740687,8.34,2
7346,312980140,8.273412958871848,8.27,3
7346,671001795,8.200380678938583,8.2,4
7346,345361792,7.7450889778860486,7.75,5
53174,440206154,9.838344635687726,9.84,1
