userid,isbn,rating
6251,312980140,7
6251,385484518,7
6251,439136350,10
6251,043935806X,9
6251,440206154,7
6251,068484267X,8
6575,014028009X,4
6575,014029628X,7
6575,609804138,8
6575,068484267X,9
7346,312976275,7
7346,312980140,8
7346,345361792,9
7346,440225701,10
7346,671001795,8
11676,60938455,10
11676,60987103,9
11676,156027321,6
11676,312195516,10
11676,312976275,7
13552,140298479,9
13552,385504209,10
13552,440221471,8
13552,440224764,9
13552,440234743,8
16795,142001740,10
16795,312966970,8
16795,312980140,6
16795,375706771,7
16795,375727345,9
17950,440213525,5
17950,446310786,8
17950,044651652X,9
17950,446605239,6
17950,679781587,9
21014,312278586,7
21014,452282152,8
21014,553250426,10
21014,671041789,7
21014,067976402X,7
23872,345342968,9
23872,345361792,6
23872,439064864,10
23872,446606812,7
23872,068484477X,8
23902,312924585,5
23902,345361792,10
23902,345370775,7
23902,446310786,7
23902,068484267X,7
28634,316666343,10
28634,440220602,10
28634,440221471,10
28634,044023722X,9
28634,044651652X,10
30735,312195516,10
30735,439064864,9
30735,439139597,10
30735,553250426,9
30735,553280368,10
35857,316601950,9
35857,375706771,8
35857,399501487,9
35857,743418174,6
35857,1558744150,8
35859,142001740,9
35859,312195516,10
35859,316666343,6
35859,385722206,8
35859,451156609,7
37712,142001740,9
37712,345370775,8
37712,671027360,7
37712,067976402X,9
37712,068484477X,7
37950,399501487,9
37950,439064872,8
37950,446310786,9
37950,451167317,7
37950,553280341,8
43246,312966970,10
43246,375727345,8
43246,446605239,9
43246,671001795,9
43246,067976402X,10
46398,345350499,9
46398,345370775,8
46398,375706771,9
46398,452282152,6
46398,068484267X,9
52584,316666343,9
52584,380018179,10
52584,446606812,7
52584,743418174,10
52584,804106304,7
53174,316601950,10
53174,345313860,9
53174,345350499,10
53174,385504209,10
53174,440206154,10
56447,60928336,8
56447,316776963,7
56447,059035342X,7
56447,671041789,10
56447,842329129,6
66942,439136350,9
66942,439139597,9
66942,440224675,6
66942,671041789,7
66942,804106304,10
68555,014028009X,4
68555,312195516,10
68555,440214041,8
68555,440221471,7
68555,440224764,7
69389,312966970,9
69389,446610038,8
69389,553280368,8
69389,590353403,8
69389,671001795,9
70666,440211727,9
70666,440213525,9
70666,440234743,7
70666,446605239,5
70666,080410526X,9
75819,316769487,2
75819,439139597,7
75819,440234743,7
75819,671041789,5
75819,786868716,6
88693,312278586,8
88693,452282152,8
88693,671003755,7
88693,671027360,7
88693,067976402X,7
88733,345339681,9
88733,439064872,10
88733,439139597,9
88733,446672211,8
88733,059035342X,10
89602,014028009X,5
89602,316666343,8
89602,316776963,8
89602,375726403,6
89602,380813815,9
91113,345350499,9
91113,345361792,10
91113,375726403,9
91113,140298479,8
91113,156027321,8
93047,439136369,9
93047,439139597,7
93047,440998050,5
93047,449212602,7
93047,553572997,7
95359,316096199,9
95359,316769487,8
95359,345378490,6
95359,375727345,7
95359,380718340,8
95932,345313860,8
95932,380002930,10
95932,380789035,7
95932,440498058,9
95932,449212602,10
101851,439064864,10
101851,439136350,10
101851,439139597,10
101851,059035342X,10
101851,804106304,10
102647,439136350,7
102647,043935806X,9
102647,044021145X,10
102647,044022165X,10
102647,440225701,8
104636,014028009X,6
104636,312980140,9
104636,439064872,10
104636,439136369,10
104636,440213525,9
105028,312924585,8
105028,440211727,8
105028,440224764,7
105028,451176464,7
105028,059035342X,8
105517,385484518,10
105517,439064872,8
105517,440498058,7
105517,080410526X,9
105517,1558744150,7
105979,312278586,8
105979,316601950,8
105979,316666343,8
105979,440213525,6
105979,440214041,5
105979,440234743,5
105979,671003755,6
105979,786868716,7
107784,316096199,4
107784,044021145X,8
