userid,isbn,rating
6251,60392452,10
6251,61009059,7
6251,140067477,10
6251,375727345,6
6251,380789035,7
6251,380813815,10
6251,439139597,10
6251,440224675,6
6251,440498058,10
6251,440998050,10
6251,067976402X,8
6575,140298479,6
6575,312966970,9
6575,312980140,9
6575,380002930,4
6575,385335482,5
6575,446606812,2
6575,553279912,7
6575,080410526X,5
6575,1400031354,9
7346,60987103,7
7346,014029628X,8
7346,312924585,9
7346,312966970,8
7346,316096199,8
7346,345370775,8
7346,375726403,8
7346,440221471,9
7346,440234743,9
7346,590353403,10
7346,609804138,7
7346,786868716,7
7346,804106304,9
11676,61009059,8
11676,64407667,3
11676,140067477,8
11676,014028009X,8
11676,014029628X,7
11676,140298479,3
11676,312278586,6
11676,312966970,7
11676,312983867,4
11676,316096199,10
11676,316666343,5
11676,316776963,8
11676,345313860,8
11676,345337662,6
11676,345361792,10
11676,345370775,8
11676,345378490,9
11676,034538475X,6
11676,375706771,6
11676,375726403,7
11676,375727345,7
11676,380002930,5
11676,380018179,6
11676,380718340,10
11676,380813815,5
11676,385335482,10
11676,385484518,9
11676,385504209,9
11676,385722206,9
11676,439064864,10
11676,439064872,8
11676,439136369,9
11676,439139597,8
11676,044021145X,1
11676,440213525,5
11676,440221471,9
11676,440224675,8
11676,440225701,8
11676,440226430,7
11676,440234743,9
11676,044023722X,8
11676,440498058,8
11676,440998050,10
11676,044651652X,8
11676,446605239,6
11676,446610038,10
11676,446672211,10
11676,449212602,10
11676,451156609,7
11676,451172817,8
11676,451184963,9
11676,553268880,10
11676,553280341,10
11676,553280368,10
11676,553572997,7
11676,590353403,8
11676,059035342X,10
11676,609804138,10
11676,671001795,10
11676,671003755,1
11676,671041789,5
11676,067976402X,10
11676,068484477X,4
11676,743418174,8
11676,786868716,9
11676,080410526X,6
11676,842329129,9
11676,971880107,6
11676,1400031354,8
11676,1558744150,10
13552,380718340,7
13552,385484518,10
13552,440211727,9
13552,440214041,9
13552,440220602,7
13552,044022165X,8
13552,044651652X,8
13552,451156609,10
13552,743418174,10
13552,786868716,9
16795,60976845,7
16795,61009059,9
16795,64407667,8
16795,312195516,9
16795,316666343,10
16795,316769487,8
16795,345342968,8
16795,345378490,7
16795,375726403,4
16795,380002930,6
16795,385492081,5
16795,385504209,10
16795,440213525,5
16795,440214041,6
16795,044022165X,5
16795,440224675,5
16795,440226430,9
16795,044651652X,9
16795,446605239,10
16795,446610038,9
16795,446672211,8
16795,451184963,8
16795,553250426,7
16795,553268880,5
16795,671001795,7
16795,671041789,7
16795,068484477X,7
16795,743418174,9
16795,786868716,8
16795,842329129,9
16795,1558744150,8
17950,64407667,10
17950,316769487,9
17950,385484518,8
17950,440211727,5
17950,068484267X,5
17950,1558744150,8
21014,60928336,8
21014,64407667,8
21014,014029628X,8
21014,312195516,9
21014,345370775,5
21014,375726403,8
21014,385722206,8
21014,439064872,9
21014,553268880,5
23872,312924585,10
23872,345313860,10
23872,345337662,9
23872,034538475X,8
23872,439136350,10
23872,439139597,10
23872,440211727,9
23902,014028009X,9
23902,140298479,10
23902,380018179,8
23902,044021145X,5
23902,440220602,5
23902,044023722X,6
23902,553279912,7
28634,014028009X,7
28634,312924585,10
28634,316666343,10
28634,345370775,9
28634,440206154,10
28634,044021145X,10
28634,440211727,10
28634,440214041,10
28634,440220602,10
28634,440221471,10
28634,440224675,10
28634,044023722X,9
